SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK
RBLBANK,208691527680.0,LARGE CAP,23.970171,1.2455714,0.0,0.0,0.13972001,0.09082,0.408,3.679,337.5,BANKING,Financial Services,Banks - Regional,2026-05-11,40.8,367.9,204.35,133,0.0,13.972001,9.082,0.0,6.4621003,681,33.87,38.32,15.02,5.11,26.594499999999996,466
UNIVPHOTO,5095644160.0,SMALL CAP,0.0,0.605861,0.0,0.0,0.02083,0.0,-0.2,0.0,465.5,PHARMA,Healthcare,Medical Devices,2026-05-11,-20.0,0.0,-10.0,1887,0.0,2.083,0.0,0.0,0.6249,1296,62.92,11.39,5.51,2.29,26.587500000000002,467
SANDUMA,113947828224.0,MID CAP,19.764757,3.9263341,0.22318001,30.563,0.23010999,0.12718001,0.158,0.509,234.41,METALS,Basic Materials,Steel,2026-05-11,15.8,50.9,33.35,610,22.318001,23.010999,12.718001,30.563,14.837800299999998,270,58.61,12.36,10.82,3.45,26.5815,468
LIKHITHA,8663471104.0,SMALL CAP,16.58957,2.1739087,0.0,0.133,0.10613,0.11071,-0.118,-0.463,219.48,POWER,Energy,Oil & Gas Equipment & Services,2026-05-11,-11.8,-46.3,-29.05,2170,0.0,10.613,11.071,0.133,5.93835,743,60.0,11.46,8.98,1.2,26.563,469
ATUL,202912579584.0,LARGE CAP,29.91579,3.2611513,0.11529,2.907,0.120620005,0.108059995,0.15,0.661,6892.0,CHEMICALS,Basic Materials,Specialty Chemicals,2026-05-11,15.0,66.10000000000001,40.55,537,11.529,12.0620005,10.8059995,2.907,10.064550025,465,48.24,22.49,13.91,5.8,26.5285,470
RMDRIP,8093519872.0,SMALL CAP,22.235292,5.4545455,0.0,40.967,0.2922,0.19016,0.551,0.366,18.9,CAPITAL GOODS,Industrials,Farm & Heavy Construction Machinery,2026-05-11,55.1,36.6,45.85,489,0.0,29.22,19.016,40.967,9.4233,497,63.17,9.97,7.55,4.61,26.527,471
BAGFILMS,1065593856.0,MICRO CAP,23.318182,0.5816986,0.0,60.33,0.05316,0.0421,0.283,-0.514,5.13,OTHERS,Communication Services,Broadcasting,2026-05-11,28.3,-51.4,-11.55,1913,0.0,5.316,4.21,60.33,-3.3857000000000004,1716,64.69,9.12,8.42,9.6,26.522499999999997,472
ZENTEC,147201114112.0,MID CAP,76.30769,8.190512,0.0,0.976,0.33915,0.31508,0.168,0.378,1636.8,DEFENCE,Industrials,Aerospace & Defense,2026-05-11,16.8,37.8,27.3,710,0.0,33.915,31.508000000000003,0.976,17.9539,210,56.55,18.32,7.99,7.7,26.515999999999995,473
SOMATEX,3817338368.0,MICRO CAP,71.11392,2.3163667,0.0,0.187,0.00928,0.15264,46.475,0.0,112.36,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,4647.5,0.0,2323.75,17,0.0,0.928,15.264,0.187,4.0757,901,61.18,12.44,7.46,4.95,26.514999999999997,474
ASTEC,15469444096.0,SMALL CAP,0.0,3.9619358,-0.25842,114.84,-0.01646,-0.18056,0.327,0.0,694.25,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,32.7,0.0,16.35,957,-25.842,-1.646,-18.056,114.84,-25.5365,2228,62.53,11.74,6.83,6.03,26.511999999999997,475
HMVL,4823307776.0,MICRO CAP,7.2577434,0.31069165,0.0,5.327,-0.021389998,0.08396,0.075,-0.951,65.61,OTHERS,Communication Services,Publishing,2026-05-11,7.5,-95.1,-43.8,2297,0.0,-2.1389998,8.396,5.327,0.92460006,1271,60.33,13.7,5.72,1.44,26.511499999999998,476
SHARDACROP,104421203968.0,MID CAP,18.447561,3.901502,0.0,0.148,0.12589,0.11246,0.387,3.664,1157.4,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,38.7,366.4,202.55,134,0.0,12.589,11.246,0.148,6.5734,674,56.14,16.41,8.35,1.55,26.504499999999993,477
CHOLAHLDNG,331276976128.0,LARGE CAP,13.571813,2.1438057,0.18035,621.271,0.36185002,0.096920006,0.182,0.12,1764.2,OTHERS,Financial Services,Credit Services,2026-05-11,18.2,12.0,15.1,993,18.035,36.185002,9.6920006,621.271,-42.53634925,2291,40.77,21.94,23.57,2.4,26.504,478
BIRLAMONEY,8284249088.0,SMALL CAP,14.15058,2.7632225,0.21804,734.586,0.27535,0.17396,0.429,1.006,146.6,OTHERS,Financial Services,Capital Markets,2026-05-11,42.9,100.6,71.75,343,21.804,27.535,17.396,734.586,-53.21770000000001,2304,61.42,11.67,9.17,7.87,26.503500000000003,479
TVTODAY,7224079360.0,SMALL CAP,41.89273,0.82224625,0.0,1.895,0.025150001,0.0136,-0.103,0.0,121.07,OTHERS,Communication Services,Broadcasting,2026-05-11,-10.3,0.0,-5.15,1767,0.0,2.5150001,1.36,1.895,0.9050000299999998,1272,63.26,14.19,4.2,9.67,26.480999999999998,480
CIPLA,1054075584512.0,LARGE CAP,23.17762,3.201965,0.0,1.415,0.14027001,0.16256,0.0,-0.57,1304.9,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,0.0,-56.99999999999999,-28.5,2166,0.0,14.027001,16.256,1.415,8.1306003,571,39.65,26.75,19.97,4.2,26.474999999999998,481
ADFFOODS,29932337152.0,SMALL CAP,37.16917,5.660593,0.0,10.727,0.16618,0.12462,0.295,0.193,272.45,FMCG,Consumer Defensive,Packaged Foods,2026-05-11,29.5,19.3,24.4,782,0.0,16.618,12.462,10.727,7.028199999999999,638,60.84,9.55,9.38,0.32,26.471999999999998,482
PRUDENT,113566097408.0,MID CAP,51.026978,14.890683,0.0,4.26,0.22106001,0.16879,0.206,0.196,2742.7,OTHERS,Financial Services,Asset Management,2026-05-11,20.6,19.6,20.1,865,0.0,22.106001,16.878999999999998,4.26,10.4255503,452,51.32,23.91,8.5,8.04,26.456,483
PURVA,50882834432.0,MID CAP,0.0,3.1472871,0.0,274.76,0.19518,-0.048410002,2.361,0.0,214.56,REALTY,Real Estate,Real Estate - Development,2026-05-11,236.1,0.0,118.05,218,0.0,19.518,-4.8410002,274.76,-22.83085005,2210,58.46,11.47,13.58,8.46,26.450999999999997,484
QPOWER,97749934080.0,MID CAP,91.46376,20.807095,0.0,5.486,0.26584,0.13786,2.913,1.618,1262.2,CAPITAL GOODS,Industrials,Electrical Equipment & Parts,2026-05-11,291.29999999999995,161.8,226.55,120,0.0,26.584000000000003,13.786,5.486,10.8731,431,52.67,21.68,6.29,0.65,26.445999999999998,485
ABLBL,130767953920.0,MID CAP,76.354614,10.136522,0.0,266.809,0.08882,0.01897,0.096,-0.051,107.66,FMCG,Consumer Cyclical,Apparel Retail,2026-05-11,9.6,-5.1,2.25,1428,0.0,8.882,1.897,266.809,-23.542050000000003,2217,44.71,22.08,17.44,1.93,26.439499999999995,486
RUCHIRA,3614227456.0,MICRO CAP,6.814856,0.724564,0.0,38.02,0.03508,0.084259994,-0.216,-0.877,121.1,OTHERS,Basic Materials,Paper & Paper Products,2026-05-11,-21.6,-87.7,-54.650000000000006,2350,0.0,3.508,8.4259994,38.02,-0.6431001500000004,1460,63.51,10.95,7.5,9.5,26.438499999999998,487
JKLAKSHMI,84809269248.0,MID CAP,18.295395,2.2903821,0.0,72.145,0.0756,0.0686,0.061,-0.093,683.15,OTHERS,Basic Materials,Building Materials,2026-05-11,6.1,-9.3,-1.6000000000000003,1669,0.0,7.56,6.859999999999999,72.145,-3.2315,1695,51.89,16.26,15.19,4.15,26.422,488
UNITEDTEA,2742615296.0,MICRO CAP,12.40452,1.1803083,0.0,0.0,0.18264,0.221,0.036,0.178,548.9,FMCG,Consumer Defensive,Farm Products,2026-05-11,3.6,17.8,10.7,1117,0.0,18.264,22.1,0.0,11.0042,424,60.05,13.81,6.14,2.83,26.412499999999998,489
JYOTHYLAB,87103275008.0,MID CAP,25.47798,6.0572014,0.0,3.737,0.12869,0.11721,0.05,-0.071,237.2,FMCG,Consumer Defensive,Household & Personal Products,2026-05-11,5.0,-7.1,-1.0499999999999998,1652,0.0,12.869,11.721,3.737,6.417249999999999,684,55.59,10.22,16.61,2.69,26.406,490
TIMEX,0.0,UNKNOWN,70.54159,0.0,0.0,35.163,0.05757,0.082049996,0.257,0.187,364.7,FMCG,Consumer Cyclical,Luxury Goods,2026-05-11,25.7,18.7,22.2,824,0.0,5.757000000000001,8.2049996,35.163,0.2620499000000005,1334,64.42,12.08,3.55,6.62,26.3965,491
KEC,154928398336.0,MID CAP,22.419107,2.7449594,0.0,94.066,0.063260004,0.02839,0.122,-0.016,582.0,CAPITAL GOODS,Industrials,Engineering & Construction,2026-05-11,12.2,-1.6,5.3,1309,0.0,6.3260004,2.839,94.066,-6.799049880000001,1931,63.03,11.81,5.25,5.23,26.392999999999997,492
BAFNAPH,3204250624.0,MICRO CAP,33.11736,3.5148952,0.0,35.519,0.03865,0.06553,0.154,0.95,135.45,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,15.4,95.0,55.2,414,0.0,3.865,6.553000000000001,35.519,-0.7541499999999997,1476,61.55,10.78,7.98,3.84,26.387499999999996,493
IIFLCAPS,109391446016.0,MID CAP,20.577036,3.877702,0.0,61.874,0.38107,0.24658,0.109,-0.063,351.25,OTHERS,Financial Services,Capital Markets,2026-05-11,10.9,-6.3,2.3000000000000003,1425,0.0,38.107,24.658,61.874,11.409199999999998,401,53.72,22.2,7.37,9.3,26.3745,494
URAVIDEF,1464329984.0,MICRO CAP,56.0917,3.0436945,0.0,45.279,0.025050001,0.06519,0.018,0.292,128.45,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,1.7999999999999998,29.2,15.5,981,0.0,2.5050001,6.519,45.279,-2.146649970000001,1608,60.03,12.54,8.47,5.17,26.373,495
NAHARPOLY,6402713088.0,SMALL CAP,8.836104,0.7508434,0.0,11.21,0.07288,0.05886,-0.032,1.565,260.4,FMCG,Consumer Cyclical,Packaging & Containers,2026-05-11,-3.2,156.5,76.65,324,0.0,7.288,5.886,11.21,2.5368999999999997,1071,64.6,10.27,4.33,4.04,26.369499999999995,496
VIJIFIN,617024960.0,MICRO CAP,48.111107,2.939579,0.08825,31.027,0.86291003,0.41875,1.619,2.12,4.33,OTHERS,Financial Services,Credit Services,2026-05-11,161.9,212.0,186.95,141,8.825,86.291003,41.875,31.027,36.342100900000005,71,64.2,13.73,3.06,9.93,26.361,497
DAMODARIND,721368000.0,MICRO CAP,8.0,0.49142078,0.0,122.316,0.057150003,0.022349998,-0.224,0.0,30.96,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-22.4,0.0,-11.2,1908,0.0,5.7150003,2.2349998,122.316,-9.95834996,2037,64.36,9.35,7.27,7.9,26.3585,498
DIACABS,92088197120.0,MID CAP,87.81407,-12.794699,0.0,0.0,0.12921,0.06797,0.542,6.833,174.75,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,54.2,683.3000000000001,368.75000000000006,71,0.0,12.921,6.797000000000001,0.0,5.57555,764,55.68,11.25,15.99,5.07,26.353499999999997,499
DEVYANI,143070330880.0,MID CAP,0.0,9.0855,0.0,170.712,0.041690003,-0.00804,0.113,0.0,116.04,FMCG,Consumer Cyclical,Restaurants,2026-05-11,11.3,0.0,5.65,1295,0.0,4.1690003,-0.804,170.712,-16.021499910000003,2139,55.59,12.97,14.28,5.73,26.344499999999996,500
VIYASH,98304614400.0,MID CAP,86.96139,6.954978,0.0,55.307,0.137,0.0537,1.196,5.692,225.23,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,119.6,569.2,344.40000000000003,77,0.0,13.7,5.37,55.307,-0.0781999999999998,1402,52.45,20.86,9.81,7.3,26.337999999999997,501
SHREEJISPG,68759650304.0,MID CAP,43.066326,9.083376,0.0,30.028,0.29448998,0.23993999,0.3,1.117,422.05,CAPITAL GOODS,Industrials,Marine Shipping,2026-05-11,30.0,111.7,70.85,352,0.0,29.448998,23.993999,30.028,11.830399149999998,381,55.8,14.98,10.42,2.96,26.333,502
MTARTECH,200552546304.0,LARGE CAP,314.97583,26.95596,0.0,25.061,0.19854,0.084259994,0.593,1.173,6520.0,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,59.3,117.3,88.30000000000001,290,0.0,19.854,8.4259994,25.061,5.55659985,767,43.56,24.31,16.43,3.14,26.332500000000003,503
BLAL,8376791040.0,SMALL CAP,0.0,-383.14285,0.0,0.0,0.0,0.0,0.0,0.0,201.15,OTHERS,Financial Services,Shell Companies,2026-05-11,0.0,0.0,0.0,1508,0.0,0.0,0.0,0.0,0.0,1363,64.03,12.87,3.72,8.79,26.322499999999998,504
DDEVPLSTIK,24886136832.0,SMALL CAP,12.513008,2.7186816,0.0,5.001,0.09672,0.06814,0.109,0.031,240.5,CHEMICALS,Basic Materials,Specialty Chemicals,2026-05-11,10.9,3.1,7.0,1252,0.0,9.672,6.814000000000001,5.001,4.105,896,61.12,11.64,8.21,6.17,26.3195,505
IDBI,787613483008.0,LARGE CAP,8.478009,1.1466813,0.14152999,0.0,0.15577,0.43376,0.0,0.0,73.25,BANKING,Financial Services,Banks - Regional,2026-05-11,0.0,0.0,0.0,1591,14.152999,15.577,43.376,0.0,20.47064965,171,22.62,39.12,28.01,3.4,26.3155,506
GRAPHITE,142907490304.0,MID CAP,43.435272,2.4480815,0.0,4.572,0.02804,0.121800005,0.228,0.0,731.45,CAPITAL GOODS,Industrials,Electrical Equipment & Parts,2026-05-11,22.8,0.0,11.4,1094,0.0,2.804,12.1800005,4.572,3.429000125,956,55.15,16.73,11.74,9.43,26.313499999999998,507
ITI,282260045824.0,LARGE CAP,0.0,18.723255,0.0,87.135,0.02784,-0.056750003,-0.503,0.0,293.15,IT,Technology,Communication Equipment,2026-05-11,-50.3,0.0,-25.15,2124,0.0,2.784,-5.6750003,87.135,-9.297050075,2023,21.54,41.46,29.12,9.49,26.308,508
TBOTEK,127211765760.0,MID CAP,52.57282,9.18646,0.0,51.855,0.10301,0.10528,0.858,0.075,1191.3,FMCG,Consumer Cyclical,Travel Services,2026-05-11,85.8,7.5,46.65,483,0.0,10.301,10.528,51.855,0.5368000000000004,1306,51.64,21.71,9.74,7.64,26.257999999999996,509
VIVIMEDLAB,555523200.0,MICRO CAP,0.0,-1.1589689,0.0,0.0,-0.97253996,-0.39539,-0.563,0.0,6.7,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,-56.3,0.0,-28.15,2160,0.0,-97.253996,-39.539,0.0,-39.0609488,2283,58.08,13.91,8.02,2.61,26.244999999999997,510
GULFPETRO,1750294016.0,MICRO CAP,6.79802,0.51507103,0.0,4.622,0.04379,0.03892,0.245,-0.214,34.33,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,24.5,-21.4,1.5500000000000007,1450,0.0,4.379,3.892,4.622,1.8245,1151,69.49,2.2,6.08,2.98,26.2035,511
SOUTHWEST,6617191424.0,SMALL CAP,22.0288,3.64846,0.0,51.856,0.2326,0.12474,0.291,1.027,221.83,POWER,Energy,Oil & Gas Equipment & Services,2026-05-11,29.1,102.7,65.89999999999999,363,0.0,23.26,12.474,51.856,4.9109,816,59.86,12.84,9.28,9.22,26.200999999999997,512
ARTEMISMED,0.0,UNKNOWN,122.75983,5.023588,0.0,31.431,0.11796,0.09273,0.172,0.076,281.12,OTHERS,,,2026-05-11,17.2,7.6,12.4,1062,0.0,11.796,9.273,31.431,2.71395,1042,63.76,11.83,2.24,2.48,26.176999999999996,513
RUSHIL,4809101824.0,MICRO CAP,49.666664,0.73032707,0.0,44.026,0.066700004,0.01052,0.023,-0.5,16.39,FMCG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-05-11,2.3,-50.0,-23.85,2110,0.0,6.670000399999999,1.052,44.026,-2.138599880000001,1605,61.19,12.37,4.9,1.86,26.1665,514
NIRAJISPAT,143052000.0,MICRO CAP,9.320563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.42,FMCG,Consumer Cyclical,Apparel Manufacturing,2026-05-11,0.0,0.0,0.0,1552,0.0,0.0,0.0,0.0,0.0,1375,64.75,8.43,5.81,4.9,26.154,515
TRIVENI,85830074368.0,MID CAP,27.992857,2.7870424,0.0,24.554,0.07752,0.04639,0.165,0.979,391.9,FMCG,Consumer Defensive,Confectioners,2026-05-11,16.5,97.9,57.2,404,0.0,7.752000000000001,4.639,24.554,1.0299500000000004,1256,50.73,20.4,9.19,0.23,26.149999999999995,516
PASHUPATI,13776275456.0,SMALL CAP,93.84946,8.601557,0.0,56.803,0.01781,0.022739999,-0.035,1.754,87.28,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-3.5000000000000004,175.4,85.95,295,0.0,1.781,2.2739999,56.803,-4.577500025,1801,62.14,10.16,5.85,1.21,26.138499999999997,517
ELGIEQUIP,170782064640.0,MID CAP,42.32422,8.525589,0.0,26.275,0.12218001,0.10553,0.184,0.182,541.75,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,18.4,18.2,18.3,912,0.0,12.218001,10.553,26.275,3.6761502999999993,931,57.99,13.71,9.17,5.79,26.122999999999998,518
ANMOL,686953792.0,MICRO CAP,6.631868,0.5974656,0.0,185.097,0.01636,0.0073,0.197,6.429,12.07,POWER,Energy,Thermal Coal,2026-05-11,19.7,642.9,331.3,86,0.0,1.636,0.73,185.097,-17.8364,2162,68.88,7.44,2.12,7.57,26.112999999999996,519
IGIL,148598112256.0,MID CAP,28.967987,10.552726,0.43001997,10.116,0.56104,0.43251,-0.3,0.231,343.85,OTHERS,Basic Materials,Other Precious Metals & Mining,2026-05-11,-30.0,23.1,-3.45,1718,43.001997,56.104,43.251,10.116,41.68304894999999,55,59.52,14.22,7.14,7.9,26.093,520
FABTECH,7529075200.0,SMALL CAP,16.92108,2.8150244,0.12939,16.589,0.13198,0.093380004,0.175,0.234,169.38,PHARMA,Healthcare,Health Information Services,2026-05-11,17.5,23.4,20.450000000000003,858,12.939,13.198,9.3380004,16.589,9.163650099999998,508,62.37,10.86,5.29,3.23,26.087,521
EMSLIMITED,19524632576.0,SMALL CAP,14.873097,1.87548,0.0,15.798,0.14032,0.14693,-0.183,-0.627,351.6,CAPITAL GOODS,Industrials,Engineering & Construction,2026-05-11,-18.3,-62.7,-40.5,2279,0.0,14.032,14.693,15.798,6.303050000000001,700,62.85,10.56,6.66,7.44,26.086499999999997,522
LGBBROSLTD,54049251328.0,MID CAP,16.941612,2.7066312,0.15689,10.719,0.10306,0.103640005,0.218,-0.17,1694.5,AUTO,Consumer Cyclical,Auto Parts,2026-05-11,21.8,-17.0,2.4000000000000004,1419,15.689,10.306,10.3640005,10.719,10.102050124999998,462,52.24,14.5,17.4,9.07,26.077,523
BLUEJET,82326691840.0,MID CAP,28.049646,6.546478,0.0,1.643,0.21260001,0.27876,-0.396,-0.594,474.6,PHARMA,Healthcare,Biotechnology,2026-05-11,-39.6,-59.4,-49.5,2332,0.0,21.260001,27.876,1.643,13.1827003,330,58.99,10.85,12.42,9.49,26.057499999999997,524
HUHTAMAKI,13511629824.0,SMALL CAP,11.424649,1.044553,0.095019996,11.138,0.066020004,0.04782,0.008,1.594,178.91,FMCG,Consumer Cyclical,Packaging & Containers,2026-05-11,0.8,159.4,80.10000000000001,316,9.5019996,6.6020004,4.782,11.138,5.387999979999999,776,63.95,10.0,3.72,2.59,26.0535,525
TARACHAND,4641997824.0,MICRO CAP,17.219297,3.1238065,0.20475,92.786,0.16067,0.096149996,0.103,0.084,58.89,CAPITAL GOODS,Industrials,Farm & Heavy Construction Machinery,2026-05-11,10.3,8.4,9.35,1168,20.475,16.067,9.6149996,92.786,5.111499899999998,795,60.96,8.41,9.48,1.78,26.051,526
AZAD,140794658816.0,MID CAP,113.42873,9.55631,0.0,21.146,0.30227,0.21493,0.317,0.319,2180.1,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,31.7,31.9,31.8,635,0.0,30.227,21.493,21.146,12.32675,364,47.4,19.87,16.84,7.26,26.035000000000004,527
SHIVAMILLS,585741760.0,MICRO CAP,0.0,0.6286928,0.0,6.938,-0.03507,-0.01569,-0.048,0.0,67.78,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-4.8,0.0,-2.4,1691,0.0,-3.507,-1.569,6.938,-2.13815,1604,58.6,12.51,9.5,6.04,26.034,528
ZODIACLOTH,2187040256.0,MICRO CAP,0.0,1.1206156,0.0,61.685,-0.20056999,-0.19993,-0.098,0.0,79.65,FMCG,Consumer Cyclical,Apparel Manufacturing,2026-05-11,-9.8,0.0,-4.9,1759,0.0,-20.056999,-19.993,61.685,-17.1838497,2153,63.0,9.87,4.38,0.79,26.026999999999994,529
SETUINFRA,76051456.0,MICRO CAP,59.0,0.14974618,0.0,0.0,0.059860002,0.024489999,1.481,2.667,0.59,CAPITAL GOODS,Industrials,Engineering & Construction,2026-05-11,148.10000000000002,266.7,207.4,132,0.0,5.9860002,2.4489999,0.0,2.408050035,1082,64.65,10.39,3.66,6.45,26.0145,530
JYOTISTRUC,15732438016.0,SMALL CAP,28.042555,3.3098946,0.108059995,439.045,0.08498,0.07254,0.462,0.153,13.18,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,46.2,15.3,30.75,646,10.8059995,8.498,7.254,439.045,-35.75950017500001,2276,64.23,5.19,9.07,3.01,26.004,531
INCREDIBLE,1709215104.0,MICRO CAP,13.242753,1.0938857,0.0,11.937,0.0195,0.01507,0.168,-0.4,36.55,METALS,Basic Materials,Steel,2026-05-11,16.8,-40.0,-11.6,1914,0.0,1.95,1.507,11.937,-0.23195,1411,59.29,11.29,9.31,4.63,26.003,532
ROHLTD,9273836544.0,SMALL CAP,24.82746,3.8616145,0.0,263.871,0.20868,0.104490004,0.266,-0.493,338.15,FMCG,Consumer Cyclical,Lodging,2026-05-11,26.6,-49.3,-11.349999999999998,1909,0.0,20.868,10.4490004,263.871,-17.5144499,2158,58.96,10.84,9.64,2.99,25.999,533
SKYGOLD,78242291712.0,MID CAP,33.214993,7.454186,0.0,78.497,0.06781,0.04212,0.771,1.076,505.2,FMCG,Consumer Cyclical,Luxury Goods,2026-05-11,77.10000000000001,107.6,92.35,273,0.0,6.781,4.212,78.497,-4.7624,1813,50.7,18.45,14.6,9.47,25.983,534
RAJRILTD,11678483456.0,SMALL CAP,49.380955,10.641355,0.0,152.096,0.03836,0.030620001,0.332,-0.3,20.74,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,33.2,-30.0,1.6000000000000014,1449,0.0,3.836,3.0620001,152.096,-13.293299975000002,2100,63.15,12.05,4.11,7.72,25.973000000000003,535
SPECTRUM,22052802560.0,SMALL CAP,55.756855,10.235578,0.0,76.093,0.13701999,0.07956,0.762,2.744,1403.4,CAPITAL GOODS,Industrials,Electrical Equipment & Parts,2026-05-11,76.2,274.40000000000003,175.3,151,0.0,13.701999,7.956,76.093,-1.509700300000001,1545,64.92,10.73,2.12,5.1,25.961,536
EPACK,24663357440.0,SMALL CAP,60.02342,2.5681617,0.0,75.66,0.042280003,0.02104,0.135,0.038,256.3,FMCG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-05-11,13.5,3.8,8.65,1191,0.0,4.2280003,2.104,75.66,-5.77159991,1876,63.7,9.06,4.65,2.22,25.9535,537
CHALET,171056300032.0,MID CAP,28.198555,5.0021453,0.0,72.88,0.35524,0.22129999,0.271,0.281,781.1,FMCG,Consumer Cyclical,Lodging,2026-05-11,27.1,28.1,27.6,705,0.0,35.524,22.129999,72.88,8.901699749999999,526,54.34,14.3,13.07,6.23,25.953499999999995,538
TIMETECHNO,90735116288.0,MID CAP,18.852308,2.7411418,0.0,21.955,0.12113,0.07563,0.128,0.239,183.81,FMCG,Consumer Cyclical,Packaging & Containers,2026-05-11,12.8,23.9,18.35,910,0.0,12.113,7.563000000000001,21.955,3.3291499999999994,965,55.89,15.38,7.55,1.12,25.951,539
MOREPENLAB,25090801664.0,SMALL CAP,25.43889,2.1033533,0.0,13.239,0.07422,0.05566,0.057,0.02,45.79,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,5.7,2.0,3.85,1357,0.0,7.422,5.566,13.239,2.2942,1093,63.6,10.82,2.58,2.0,25.950999999999997,540
WELCORP,350541643776.0,LARGE CAP,18.051332,4.2861843,0.0,18.258,0.115430005,0.11848,0.254,-0.33,1329.3,METALS,Basic Materials,Steel,2026-05-11,25.4,-33.0,-3.8000000000000007,1731,0.0,11.5430005,11.848,18.258,4.59910015,839,37.85,28.17,17.8,2.13,25.9355,541
CARBORUNIV,197921701888.0,MID CAP,80.23166,5.246627,0.0,7.95,0.07434,0.048049998,0.028,1.203,1039.0,CAPITAL GOODS,Industrials,Conglomerates,2026-05-11,2.8000000000000003,120.3,61.55,384,0.0,7.434,4.8049998,7.95,2.6364499500000003,1050,53.66,13.1,15.67,7.0,25.9285,542
SAFARI,73118539776.0,MID CAP,43.510204,6.9975715,0.0,10.828,0.07403,0.08417,0.157,0.053,1492.4,FMCG,Consumer Cyclical,Footwear & Accessories,2026-05-11,15.7,5.3,10.5,1122,0.0,7.403,8.417,10.828,3.24235,974,51.0,18.72,11.37,3.8,25.9285,543
SHAKTIPUMP,68559908864.0,MID CAP,26.44455,4.2145824,0.17969999,29.625,0.09696,0.094610006,0.301,-0.662,555.6,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,30.1,-66.2,-18.050000000000004,2035,17.969999,9.696,9.4610006,29.625,8.601049799999998,542,44.91,24.43,11.57,0.3,25.909999999999997,544
DOMS,141452378112.0,MID CAP,63.78763,12.869029,0.0,13.64,0.13665,0.09945,0.182,0.065,2330.8,CAPITAL GOODS,Industrials,Business Equipment & Supplies,2026-05-11,18.2,6.5,12.35,1064,0.0,13.665,9.945,13.64,5.22175,785,59.05,12.26,8.12,4.67,25.9085,545
SCI,158674436096.0,MID CAP,11.722299,1.8604486,0.0,32.955,0.2524,0.01102,0.225,4.364,340.65,CAPITAL GOODS,Industrials,Marine Shipping,2026-05-11,22.5,436.4,229.45,117,0.0,25.24,1.102,32.955,4.552,845,57.12,10.51,12.79,4.36,25.906499999999994,546
AHLEAST,2747650304.0,MICRO CAP,0.0,1.2044814,0.0,154.746,0.34377,-0.45623,0.134,0.0,158.9,FMCG,Consumer Cyclical,Lodging,2026-05-11,13.4,0.0,6.7,1262,0.0,34.377,-45.623000000000005,154.746,-16.56725,2147,60.53,9.93,7.47,1.27,25.904999999999998,547
JINDALSAW,151804837888.0,MID CAP,15.642575,1.2574869,0.07964,38.19,0.0678,0.054390002,-0.082,-0.522,238.08,METALS,Basic Materials,Steel,2026-05-11,-8.200000000000001,-52.2,-30.200000000000003,2182,7.964,6.78,5.4390002,38.19,2.3621500499999994,1083,49.26,22.87,7.75,1.4,25.8995,548
HITECHCORP,2372822784.0,MICRO CAP,32.429573,0.8520624,0.0,47.479,0.01919,0.011729999,0.18,0.0,138.15,FMCG,Consumer Cyclical,Packaging & Containers,2026-05-11,18.0,0.0,9.0,1180,0.0,1.919,1.1729999,47.479,-3.878950025000001,1755,64.53,9.92,3.59,5.64,25.895,549
