FINAL_RANK,SYMBOL,SECTOR,PE_RATIO,PRICE_TO_BOOK,ROE,REVENUE_GROWTH,EARNINGS_GROWTH,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,GROWTH_SCORE,QUALITY_SCORE,OWNERSHIP_SCORE,VALUATION_SCORE,FINAL_SCORE,RATING,AI_RESEARCH_SUMMARY
739,ANURAS,CHEMICALS,88.555626,4.808725,0.0,0.313,0.677,49.48,14.89,11.77,49.5,3.624499899999999,24.610499999999995,29.62509051677804,26.784468073355608,AVOID,"ANURAS operates in the CHEMICALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.78.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.31.

Promoter holding is currently 49.48%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ANURAS: AVOID."
740,ARCHIES,FMCG,0.0,0.43870077,0.0,-0.229,0.0,40.17,9.32,5.62,-11.45,-3.3493000250000007,17.6705,138.38374138253732,26.77105826900747,AVOID,"ARCHIES operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.77.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.23.

Promoter holding is currently 40.17%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ARCHIES: AVOID."
741,AGI,FMCG,11.573768,1.6911952,0.15612,0.053,0.194,55.45,7.6,5.82,12.35,14.102900000000002,22.6235,71.48115518223634,26.756801036447268,AVOID,"AGI operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.76.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.16, while revenue growth stands at 0.05.

Promoter holding is currently 55.45%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AGI: AVOID."
742,GLOBAL,FMCG,25.778782,4.7174487,0.19736,0.737,0.094,48.4,7.62,1.64,41.55,22.3701495,18.919,18.85026233523084,26.729897317046166,AVOID,"GLOBAL operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.73.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.2, while revenue growth stands at 0.74.

Promoter holding is currently 48.4%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for GLOBAL: AVOID."
743,VGL,FMCG,6.135135,2.9704566,0.0,1.043,0.0,45.51,6.98,8.12,52.15,9.47225,19.5995,21.50914931821832,26.70840486364366,AVOID,"VGL operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.71.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 1.04.

Promoter holding is currently 45.51%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for VGL: AVOID."
744,GALAPREC,CAPITAL GOODS,33.02132,3.9728322,0.0,0.467,0.383,39.96,5.43,8.28,42.5,5.9919,16.977,43.55832827035442,26.654635654070887,AVOID,"GALAPREC operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.65.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.47.

Promoter holding is currently 39.96%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for GALAPREC: AVOID."
745,NORBTEAEXP,FMCG,0.0,6.049916,0.0,0.497,0.0,57.62,14.66,3.29,24.85,-2.7488,24.8285,74.95874653466262,26.587809306932527,AVOID,"NORBTEAEXP operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.59.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.5.

Promoter holding is currently 57.62%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for NORBTEAEXP: AVOID."
746,SUPREMEIND,CAPITAL GOODS,48.275726,7.4488287,0.16128999,0.165,0.475,48.18,43.12,14.67,32.0,11.89074925,32.622499999999995,34.3739929490005,26.566523364800094,AVOID,"SUPREMEIND operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.57.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.16, while revenue growth stands at 0.17.

Promoter holding is currently 48.18%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SUPREMEIND: AVOID."
747,ECLERX,IT,24.259844,6.0430965,0.0,0.254,0.393,20.37,21.45,8.56,32.35,9.22095,15.0545,55.21198617167455,26.524582234334915,AVOID,"ECLERX operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.52.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.25.

Promoter holding is currently 20.37%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ECLERX: AVOID."
748,PREMIERENE,IT,35.82441,13.018272,0.0,0.13,0.541,19.07,38.67,16.18,33.55,8.0182,21.521500000000003,48.72531550975646,26.519823101951296,AVOID,"PREMIERENE operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.52.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.13.

Promoter holding is currently 19.07%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for PREMIERENE: AVOID."
749,TINNARUBR,CHEMICALS,29.742552,5.0952644,0.0,0.134,0.52,45.16,9.52,7.55,32.7,2.7038999999999995,19.7195,59.68280040732059,26.50163008146412,AVOID,"TINNARUBR operates in the CHEMICALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.5.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.13.

Promoter holding is currently 45.16%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for TINNARUBR: AVOID."
750,UNIVPHOTO,PHARMA,0.0,0.605861,0.0,-0.2,0.0,62.92,11.39,5.51,-10.0,0.6249,26.5875,119.5163081961044,26.408231639220883,AVOID,"UNIVPHOTO operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.41.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.2.

Promoter holding is currently 62.92%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for UNIVPHOTO: AVOID."
751,UCOBANK,BANKING,11.927602,0.99573153,0.08631,-0.126,0.149,26.77,44.39,19.41,1.1499999999999997,21.46915,27.132,70.95826854851174,26.40379870970235,AVOID,"UCOBANK operates in the BANKING sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.4.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.09, while revenue growth stands at -0.13.

Promoter holding is currently 26.77%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for UCOBANK: AVOID."
752,LLOYDSENGG,CAPITAL GOODS,44.402687,7.347846,0.0,0.023,0.581,63.28,20.2,12.82,30.2,7.43885,31.283999999999995,44.238056714851446,26.39606634297029,AVOID,"LLOYDSENGG operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.4.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.02.

Promoter holding is currently 63.28%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for LLOYDSENGG: AVOID."
753,IKS,PHARMA,44.618145,12.988757,0.0,0.24,0.412,56.79,31.12,23.56,32.599999999999994,11.18775,34.9775,30.907920441811253,26.31340908836225,AVOID,"IKS operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.31.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.24.

Promoter holding is currently 56.79%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for IKS: AVOID."
754,AEGISVOPAK,POWER,169.904,4.930127,0.0,0.223,0.436,67.98,44.23,19.6,32.95,17.525049499999998,41.708,14.018928023526689,26.287900454705337,AVOID,"AEGISVOPAK operates in the POWER sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.29.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.22.

Promoter holding is currently 67.98%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AEGISVOPAK: AVOID."
755,VIKASLIFE,FMCG,0.0,0.43300655,0.0,-0.177,0.0,45.14,4.71,3.19,-8.85,-8.4527503,17.816499999999998,139.28301661949456,26.229078233898917,AVOID,"VIKASLIFE operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.23.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.18.

Promoter holding is currently 45.14%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for VIKASLIFE: AVOID."
756,SHAREINDIA,OTHERS,11.288612,1.2609568,0.0,0.059,0.151,59.81,11.56,7.56,10.5,14.75564975,25.7375,67.46378842577909,26.21695261015582,AVOID,"SHAREINDIA operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.22.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.06.

Promoter holding is currently 59.81%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SHAREINDIA: AVOID."
757,THERMAX,CAPITAL GOODS,70.92853,10.136059,0.0,0.051,0.761,63.66,31.39,11.27,40.6,0.3666,33.8665,35.711008148110096,26.205481629622017,AVOID,"THERMAX operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.21.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.05.

Promoter holding is currently 63.66%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for THERMAX: AVOID."
758,BRIGHOTEL,FMCG,37.517857,2.395667,0.11928,0.017,0.5,47.38,11.47,9.51,25.85,11.36725,21.4305,53.56972910128697,26.165220820257392,AVOID,"BRIGHOTEL operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.17.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.12, while revenue growth stands at 0.02.

Promoter holding is currently 47.38%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for BRIGHOTEL: AVOID."
759,UNITEDTEA,FMCG,12.40452,1.1803083,0.0,0.036,0.178,60.05,13.81,6.14,10.7,11.0042,26.4125,71.69054322069914,26.13186864413983,AVOID,"UNITEDTEA operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.13.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.04.

Promoter holding is currently 60.05%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for UNITEDTEA: AVOID."
760,INTERARCH,CAPITAL GOODS,25.855669,4.406096,0.0,0.437,0.316,53.04,7.92,7.4,37.650000000000006,4.3619,22.358000000000004,45.02087144885935,26.079344289771875,AVOID,"INTERARCH operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.08.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.44.

Promoter holding is currently 53.04%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for INTERARCH: AVOID."
761,INDTERRAIN,FMCG,0.0,0.7970543,0.0,0.047,0.0,52.52,14.45,9.34,2.35,-3.876700000000001,25.016,107.63858999317864,26.072907998635728,AVOID,"INDTERRAIN operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 26.07.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.05.

Promoter holding is currently 52.52%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for INDTERRAIN: AVOID."
762,REGENCERAM,CAPITAL GOODS,1091.5,-1.7406211,0.0,1.909,0.0,49.95,12.86,7.85,95.45,-13.4761506,23.289,-17.171095198146126,25.815735780370776,AVOID,"REGENCERAM operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.82.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 1.91.

Promoter holding is currently 49.95%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for REGENCERAM: AVOID."
763,ANUHPHR,PHARMA,19.827337,2.533166,0.0,0.236,0.301,53.68,13.22,9.29,26.85,3.4544,24.199500000000004,59.40348529172235,25.81191705834447,AVOID,"ANUHPHR operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.81.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.24.

Promoter holding is currently 53.68%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ANUHPHR: AVOID."
764,DYCL,CAPITAL GOODS,23.690887,4.8535542,0.0,0.188,0.42,41.28,9.99,3.46,30.4,3.02545,17.721999999999998,61.05445770875848,25.782926541751696,AVOID,"DYCL operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.78.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.19.

Promoter holding is currently 41.28%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for DYCL: AVOID."
765,SIKKO,OTHERS,28.937502,2.3360243,0.0,0.428,0.299,53.4,7.49,2.31,36.35,5.354149849999999,21.1065,45.22245951408122,25.77703685781624,AVOID,"SIKKO operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.78.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.43.

Promoter holding is currently 53.4%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SIKKO: AVOID."
766,AMBALALSA,PHARMA,23.477942,1.7318436,0.0,0.131,0.379,45.15,9.76,8.38,25.5,1.4166002999999998,20.6785,67.45474274980847,25.70162863996169,AVOID,"AMBALALSA operates in the PHARMA sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.7.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.13.

Promoter holding is currently 45.15%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AMBALALSA: AVOID."
767,WAAREEINDO,IT,7.1638265,8.676994,1.5063001,-0.57,0.048,34.08,10.66,3.69,-26.1,81.60655349999999,15.8435,29.14201601876541,25.649069253753083,AVOID,"WAAREEINDO operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.65.

Business quality metrics remain healthy with Return on Equity (ROE) at 1.51, while revenue growth stands at -0.57.

Promoter holding is currently 34.08%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for WAAREEINDO: AVOID."
768,CNL,IT,17.648592,3.128509,0.0,0.379,0.306,33.13,14.09,4.09,34.25,-2.2036499750000003,16.168,63.871183093468886,25.621741626193774,AVOID,"CNL operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.62.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.38.

Promoter holding is currently 33.13%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for CNL: AVOID."
769,IRIS,IT,50.038933,2.6534317,0.0,0.084,0.446,12.23,14.58,4.43,26.5,26.8308013,9.182999999999998,38.84467034064512,25.60477445812902,AVOID,"IRIS operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.6.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.08.

Promoter holding is currently 12.23%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for IRIS: AVOID."
770,SKFINDUS,CAPITAL GOODS,0.0,0.0,0.0,0.0,0.0,39.89,17.21,12.8,0.0,3.873,22.1995,100.0,25.6018,AVOID,"SKFINDUS operates in the CAPITAL GOODS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.6.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.0.

Promoter holding is currently 39.89%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for SKFINDUS: AVOID."
771,VENUSPIPES,METALS,27.333607,4.4798026,0.0,0.283,0.413,48.13,4.02,5.04,34.8,2.276949749999999,18.762500000000003,53.48893807986237,25.573372540972475,AVOID,"VENUSPIPES operates in the METALS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.57.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.28.

Promoter holding is currently 48.13%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for VENUSPIPES: AVOID."
772,MFML,FMCG,4.761726,0.27660617,0.0,-0.195,0.0,64.33,7.35,1.89,-9.75,-3.4831499500000005,24.46,123.15800239208704,25.553655493417413,AVOID,"MFML operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.55.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at -0.2.

Promoter holding is currently 64.33%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for MFML: AVOID."
773,AEGISLOG,POWER,31.332115,4.055578,0.0,0.011,0.424,66.4,34.0,25.3,21.75,3.987849899999999,39.451,49.27118794609928,25.465792559219857,AVOID,"AEGISLOG operates in the POWER sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.47.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.01.

Promoter holding is currently 66.4%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AEGISLOG: AVOID."
774,ZFCVINDIA,AUTO,55.642826,8.114986,0.0,0.327,0.461,42.78,25.42,25.78,39.400000000000006,6.98435025,28.375,29.270690942505592,25.44444326350112,AVOID,"ZFCVINDIA operates in the AUTO sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.44.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.33.

Promoter holding is currently 42.78%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ZFCVINDIA: AVOID."
775,MONARCH,OTHERS,15.19221,2.7431464,0.0,0.229,0.122,36.4,4.43,2.45,17.55,32.1777505,14.4815,37.66056915091768,25.346738980183535,AVOID,"MONARCH operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.35.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.23.

Promoter holding is currently 36.4%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for MONARCH: AVOID."
776,EIDPARRY,OTHERS,12.284987,1.6861697,0.0,0.183,0.191,63.78,17.73,10.89,18.700000000000003,0.7912999999999994,29.7965,67.69010621844643,25.34471124368929,AVOID,"EIDPARRY operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.34.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.18.

Promoter holding is currently 63.78%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for EIDPARRY: AVOID."
777,ATHERENERG,AUTO,0.0,14.416042,-0.33740002,0.737,0.0,47.58,32.75,16.72,36.85,-20.872800700000003,30.599,72.08101502478974,25.329162794957945,AVOID,"ATHERENERG operates in the AUTO sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.33.

Business quality metrics remain healthy with Return on Equity (ROE) at -0.34, while revenue growth stands at 0.74.

Promoter holding is currently 47.58%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ATHERENERG: AVOID."
778,AEQUS,DEFENCE,0.0,14.2244425,0.0,0.508,0.0,73.53,19.59,15.72,25.4,-12.48745,35.1675,72.10904574994767,25.32907414998953,AVOID,"AEQUS operates in the DEFENCE sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.33.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.51.

Promoter holding is currently 73.53%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for AEQUS: AVOID."
779,CIGNITITEC,IT,12.473935,3.3293626,0.0,0.122,0.26,12.38,13.2,9.15,19.1,8.36044975,10.4775,74.74780871496004,25.28319666799201,AVOID,"CIGNITITEC operates in the IT sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.28.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.12.

Promoter holding is currently 12.38%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for CIGNITITEC: AVOID."
780,TITAN,FMCG,73.44743,29.129293,0.37127998,0.805,0.351,35.43,43.35,13.29,57.8,-3.172700750000004,28.438,15.911283151204197,25.25804640524084,AVOID,"TITAN operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.26.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.37, while revenue growth stands at 0.81.

Promoter holding is currently 35.43%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for TITAN: AVOID."
781,MOTISONS,FMCG,0.0,2.7744772,0.0,0.201,0.0,35.83,10.91,8.92,10.05,8.269399700000001,17.8525,80.81284791239229,25.22888949247846,AVOID,"MOTISONS operates in the FMCG sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.23.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.2.

Promoter holding is currently 35.83%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for MOTISONS: AVOID."
782,ICRA,OTHERS,27.826223,4.7163672,0.0,0.041,0.323,49.14,24.65,14.94,18.200000000000003,18.5545494,28.151,42.62158810352517,25.180882440705037,AVOID,"ICRA operates in the OTHERS sector and is currently classified as a UNKNOWN company.

The stock currently holds a AVOID institutional rating with a factor score of 0 and a final institutional score of 25.18.

Business quality metrics remain healthy with Return on Equity (ROE) at 0.0, while revenue growth stands at 0.04.

Promoter holding is currently 49.14%, reflecting institutional and management ownership confidence.

The company demonstrates characteristics commonly associated with institutional-quality businesses including scalable operations, sector leadership potential, and factor strength.

Overall institutional outlook for ICRA: AVOID."
