SYMBOL,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT
ECLERX,20.37,21.45,8.56,6.5
ECOSMOBLTY,60.3,6.48,5.86,2.02
EDELWEISS,41.05,13.63,13.69,7.14
EDUCOMP,48.3,11.5,1.68,6.95
EFCIL,47.55,5.49,7.4,2.64
EICHERMOT,59.01,44.18,15.65,4.91
EIDPARRY,63.78,17.73,10.89,5.68
EIEL,37.79,4.24,7.55,6.08
EIFFL,35.94,11.19,8.32,8.58
EIHAHOTELS,48.54,12.57,1.9,0.02
EIHOTEL,43.52,24.56,14.94,9.18
EIMCOELECO,55.19,7.98,3.0,9.95
EKC,47.31,3.59,8.59,0.83
ELANTAS,62.37,5.77,1.69,6.35
ELCIDIN,42.08,2.92,6.62,0.01
ELDEHSG,53.26,11.52,2.22,7.72
ELECON,44.23,17.02,16.41,5.37
ELECTCAST,54.2,12.49,6.14,3.34
ELECTHERM,58.3,2.58,3.67,5.73
ELGIEQUIP,57.99,13.71,9.17,5.79
ELGIRUBCO,55.59,2.17,9.7,2.2
ELIN,51.93,13.18,9.78,8.07
ELITECON,54.5,4.55,6.54,6.94
ELLEN,41.47,9.41,8.39,6.62
ELPROINTL,42.11,2.19,4.73,1.09
EMAMILTD,61.53,22.13,15.77,3.78
EMAMIPAP,43.33,5.68,3.58,6.4
EMAMIREAL,43.5,4.86,2.9,4.86
EMBDL,59.58,20.7,18.77,2.08
EMCURE,60.65,40.64,16.27,8.29
EMIL,35.89,10.85,4.31,9.27
EMKAY,37.5,9.67,5.32,7.84
EMMBI,47.25,8.27,7.16,7.38
EMMVEE,28.59,20.28,5.68,8.8
EMPOWER,35.26,10.75,3.55,5.02
EMSLIMITED,62.85,10.56,6.66,7.44
EMUDHRA,34.66,8.92,1.88,0.46
ENDURANCE,55.97,36.74,23.22,4.69
ENERGYDEV,21.91,9.34,6.95,6.99
ENGINERSIN,58.81,14.36,18.23,3.58
ENIL,47.16,7.32,2.67,7.62
ENRIN,14.31,23.6,19.55,5.13
ENTERO,46.58,16.54,16.53,9.75
EPACK,63.7,9.06,4.65,2.22
EPACKPEB,49.93,6.78,4.71,4.87
EPIGRAL,54.45,16.09,17.64,0.92
EPL,41.31,14.59,13.83,8.73
EQUIPPP,26.15,11.94,4.43,5.97
EQUITASBNK,13.65,17.69,11.33,0.42
ERIS,45.29,22.25,7.5,0.2
ESABINDIA,42.35,10.3,6.77,5.4
ESAFSFB,15.88,6.09,9.56,2.78
ESCORTS,37.17,35.1,15.78,4.3
ESSARSHPNG,38.76,9.08,2.1,5.37
ESSENTIA,53.77,10.94,3.58,0.89
ESTER,58.76,15.0,2.99,1.34
ETERNAL,47.58,21.35,27.88,9.49
ETHOSLTD,36.69,24.36,17.25,0.34
EUREKAFORB,37.56,18.94,14.34,5.32
EUROBOND,61.33,7.82,8.14,6.35
EUROPRATIK,37.02,14.9,3.36,4.97
EUROTEXIND,55.49,3.43,2.24,1.16
EVEREADY,47.54,4.41,8.6,2.79
EVERESTIND,43.33,6.64,5.99,0.74
EXCELINDUS,38.84,10.54,6.55,0.81
EXCELSOFT,11.81,12.66,1.94,3.34
EXICOM,51.22,7.08,3.86,8.64
EXIDEIND,38.95,44.17,29.85,3.2
EXPLEOSOL,31.43,8.68,1.7,7.08
EXXARO,56.79,8.36,2.59,8.52
FABTECH,62.37,10.86,5.29,3.23
FACT,52.9,34.68,29.66,9.2
FAIRCHEMOR,45.71,3.13,3.64,6.69
FAZE3Q,51.71,5.25,2.51,6.23
FCL,53.34,10.95,1.06,9.63
FCONSUMER,55.24,9.17,8.9,5.46
FCSSOFT,18.1,5.05,7.45,5.84
FDC,59.32,24.48,16.22,3.23
FEDDERSHOL,48.61,5.33,6.83,5.45
FEDERALBNK,10.42,40.56,18.97,8.23
FEDFINA,52.76,17.99,12.11,0.39
FEL,45.5,11.35,7.48,8.4
FELDVR,58.57,6.72,2.26,5.75
FERMENTA,35.29,10.88,1.09,9.0
FIBERWEB,44.51,7.2,7.52,2.27
FIEMIND,40.45,19.43,10.02,7.91
FILATEX,38.47,11.83,1.45,4.82
FILATFASH,59.4,12.55,4.28,6.31
FINCABLES,61.49,15.84,10.98,3.8
FINEORG,47.05,16.8,11.17,8.88
FINKURVE,41.28,6.69,6.71,5.21
FINOPB,26.26,6.02,4.04,5.42
FINPIPE,39.0,13.61,14.19,7.34
FIRSTCRY,62.66,19.48,9.06,2.87
FISCHER,36.23,2.57,5.17,9.96
FIVESTAR,49.04,14.03,9.16,8.95
FLAIR,47.48,3.39,2.42,9.11
FLEXITUFF,40.21,5.5,1.36,0.42
FLFL,35.93,10.16,2.16,3.64
FLUOROCHEM,54.35,26.47,28.68,2.55
FMGOETZE,55.41,9.87,5.47,4.33
FMNL,50.27,2.62,5.6,0.24
FOCUS,48.28,3.22,4.91,2.09
FOODSIN,45.18,14.11,8.16,2.06
FORCEMOT,37.4,29.18,23.6,3.92
FORTIS,56.27,24.42,13.6,0.79
FOSECOIND,50.01,14.54,3.54,7.79
FRACTAL,33.2,10.91,13.76,2.03
FRONTSP,48.19,5.06,1.37,2.21
FSL,31.09,16.64,17.22,1.12
FUSION,56.7,11.04,8.58,2.09
GABRIEL,52.67,15.92,10.49,4.69
GAEL,42.63,19.9,12.56,9.53
GAIL,18.02,38.11,29.73,3.06
GALAPREC,39.96,5.43,8.28,7.08
GALAXYSURF,63.2,21.85,10.74,1.26
GALLANTT,63.56,37.88,15.24,6.02
GANDHAR,51.37,6.66,6.3,8.53
GANDHITUBE,45.79,6.94,9.09,4.93
GANECOS,52.68,14.56,3.89,9.32
GANESHBE,63.9,12.21,8.49,0.93
GANESHCP,41.54,2.84,9.16,2.7
GANESHHOU,39.2,16.61,18.22,4.94
GANGAFORGE,41.88,4.82,4.19,0.53
GANGESSECU,49.45,2.06,5.26,0.34
GARFIBRES,58.73,20.27,19.13,2.13
GARUDA,48.73,14.28,1.99,6.62
GATECH,38.03,6.12,7.47,6.19
GATECHDVR,50.2,11.07,9.25,1.73
GATEWAY,55.28,7.5,6.84,1.5
GAUDIUMIVF,49.54,6.31,2.69,9.83
GAYAHWS,44.46,6.14,7.57,9.2
GAYAPROJ,44.77,11.59,6.88,5.8
GCSL,55.88,5.85,1.27,1.66
GEECEE,60.52,9.25,4.43,1.43
GEEKAYWIRE,47.6,3.89,3.6,7.72
GEMAROMA,44.65,13.41,4.48,5.79
GENCON,59.71,9.46,2.61,7.2
GENESYS,28.47,12.24,4.17,2.51
GENSOL,15.99,11.11,8.93,2.26
GENUSPAPER,36.56,7.36,5.21,2.07
GENUSPOWER,57.57,23.48,8.98,9.71
GEOJITFSL,35.84,2.45,4.38,5.86
GESHIP,46.04,24.71,23.1,4.88
GFLLIMITED,54.82,10.65,4.16,0.72
GFSTEELS,61.13,6.37,9.29,8.65
GHCL,46.68,7.6,1.76,2.22
GHCLTEXTIL,39.2,9.56,2.29,8.08
GICHSGFIN,24.78,5.52,4.79,7.37
GICL,44.96,9.51,5.95,3.78
GICRE,49.12,33.75,21.35,0.07
GILLANDERS,61.17,14.59,6.22,2.32
GILLETTE,49.3,20.3,24.1,2.28
GINNIFILA,42.59,2.31,7.63,9.66
GIPCL,18.56,8.74,2.87,7.3
GKENERGY,21.29,13.32,1.33,8.9
GKSL,52.12,12.26,6.21,3.59
GKWLIMITED,36.17,7.17,3.51,5.47
GLAND,61.3,32.53,22.15,5.54
GLAXO,42.28,25.26,22.28,5.9
GLENMARK,41.83,30.81,29.69,8.64
GLFL,37.84,14.58,7.84,9.75
GLOBAL,48.4,7.62,1.64,7.17
GLOBALE,41.84,14.67,6.26,1.09
GLOBALVECT,52.12,8.56,4.34,0.7
GLOBE,50.01,14.62,1.36,3.25
GLOBECIVIL,53.52,14.16,5.1,7.52
GLOBUSSPR,45.98,7.74,6.21,9.94
GLOSTERLTD,35.98,10.27,6.97,1.63
GLOTTIS,56.78,3.5,1.47,7.05
GMBREW,54.81,7.26,8.76,5.44
GMDCLTD,57.43,41.41,27.57,4.83
GMMPFAUDLR,47.87,5.16,4.29,4.05
GMRAIRPORT,56.67,39.08,16.21,3.54
GMRP&UI,50.08,11.22,6.22,3.32
GNA,51.73,6.87,9.72,7.92
GNFC,64.72,19.93,15.04,3.02
GNRL,60.69,13.21,1.79,6.88
GOACARBON,57.84,8.69,4.54,9.04
GOCLCORP,37.97,14.52,6.27,5.2
GOCOLORS,63.32,7.89,5.75,1.69
GODAVARIB,64.81,3.64,7.83,4.94
GODFRYPHLP,46.85,25.43,20.61,6.04
GODIGIT,45.49,27.81,18.76,0.64
GODREJAGRO,54.73,21.89,6.12,2.74
GODREJCP,36.8,32.58,29.68,5.19
GODREJIND,57.46,29.28,18.57,5.43
GODREJPROP,51.44,43.13,16.6,9.65
GOKEX,43.96,11.47,13.87,7.68
GOKUL,51.06,11.69,4.14,6.29
GOKULAGRO,43.05,14.5,5.98,6.52
GOLDENTOBC,48.44,3.57,2.3,6.79
GOLDIAM,63.71,4.07,2.63,1.73
GOLDTECH,34.45,5.82,1.78,5.89
GOODLUCK,53.51,4.42,7.74,5.54
GOODYEAR,47.74,13.76,6.61,6.54
GOPAL,49.97,2.56,7.93,8.45
GOYALALUM,48.69,10.57,9.57,7.31
GPIL,39.53,18.86,9.68,6.73
GPPL,55.66,14.47,6.11,0.19
GPTHEALTH,59.52,7.64,4.0,7.39
GPTINFRA,41.71,10.07,3.66,8.47
GRADIENTE,43.7,4.52,6.86,4.54
GRANDOAK,50.06,2.94,2.14,1.64
GRANULES,42.57,13.34,15.42,8.01
GRAPHITE,55.15,16.73,11.74,9.43
GRASIM,40.0,28.41,27.35,8.88
GRAUWEIL,41.24,5.09,1.51,5.27
GRAVISSHO,41.54,8.97,9.11,6.99
GRAVITA,53.19,12.31,6.44,8.91
GREAVESCOT,47.92,8.85,6.98,8.57
GREENLAM,36.31,23.61,17.46,4.71
GREENPANEL,51.99,4.89,2.31,8.82
GREENPLY,42.87,3.91,4.47,0.26
GREENPOWER,18.61,3.15,7.66,3.64
GRINDWELL,46.85,16.35,8.65,9.25
GRINFRA,47.18,12.77,15.39,3.87
GRMOVER,52.55,4.19,9.82,8.32
GROBTEA,36.48,5.72,8.81,5.22
GROWW,44.14,26.56,18.99,0.99
GRPLTD,43.22,6.47,8.14,2.28
GRSE,53.51,25.43,22.49,6.36
GRWRHITECH,48.33,15.43,8.02,3.64
GSFC,54.82,20.75,17.82,3.56
GSLSU,61.8,12.3,9.39,4.78
GSPCROP,41.77,13.55,2.89,9.3
GSPL,27.47,23.1,19.99,7.49
GSS,29.51,13.45,5.35,3.91
GTECJAINX,44.74,12.56,2.8,8.37
GTL,50.18,5.15,7.32,6.04
GTLINFRA,26.12,5.97,5.84,2.77
GTPL,54.9,2.0,5.46,2.95
GUFICBIO,39.7,13.08,6.87,4.89
GUJALKALI,39.12,17.2,13.71,9.42
GUJAPOLLO,37.67,5.37,6.18,1.12
GUJGASLTD,25.02,29.06,22.64,3.89
GUJRAFFIA,57.7,11.58,6.23,1.25
GUJTHEM,51.57,4.1,3.66,1.4
GULFOILLUB,44.44,2.73,6.29,4.26
GULFPETRO,69.49,2.2,6.08,2.98
GULPOLY,43.73,2.82,9.44,3.11
GVKPIL,19.12,5.41,5.43,7.18
GVPIL,39.2,4.23,9.01,0.27
GVPTECH,33.95,11.83,4.54,1.27
GVT&D,64.22,34.55,29.24,2.26
HAL,53.97,44.61,21.31,1.5
HALDER,49.98,7.01,8.99,7.0
HALDYNGL,46.68,10.35,3.64,8.7
HALEOSLABS,35.14,11.25,7.09,2.75
HAPPSTMNDS,29.42,20.31,14.65,7.33
HAPPYFORGE,51.21,20.78,17.6,4.21
HARDWYN,63.88,10.1,7.66,6.84
HARIOMPIPE,42.26,9.04,4.64,5.18
HARRMALAYA,45.5,13.7,9.47,1.72
HARSHA,50.52,10.22,4.99,5.61
HATHWAY,36.03,10.73,6.38,5.53
HATSUN,48.93,39.37,10.03,4.75
HAVELLS,39.58,25.78,16.11,5.04
HAVISHA,46.32,9.19,4.23,7.09
HAWKINCOOK,39.38,11.13,3.87,2.08
HBESD,45.1,9.47,6.8,3.44
HBLENGINE,55.75,22.32,16.4,4.6
HBSL,63.69,9.06,4.53,8.92
HCC,41.65,13.27,6.8,6.26
HCG,40.68,15.44,8.95,5.39
HCL-INSYS,31.11,14.88,8.1,3.67
HCLTECH,27.11,31.18,21.65,6.6
HDBFS,56.03,23.03,11.9,9.46
HDFCAMC,58.0,26.72,20.45,9.59
HDFCBANK,30.77,43.93,13.16,4.1
HDFCLIFE,63.27,32.61,18.46,4.71
HDIL,46.23,13.27,3.83,9.32
HEADSUP,54.48,13.93,8.85,7.79
HEALTHX,59.02,8.99,6.74,5.88
HECPROJECT,44.07,4.18,7.79,5.38
HEG,45.46,17.92,13.21,8.6
HEIDELBERG,38.13,5.69,8.41,2.82
HEMIPROP,51.85,12.76,7.29,5.48
HERANBA,56.36,2.52,2.01,2.06
HERITGFOOD,45.31,4.31,6.0,3.03
HEROMOTOCO,40.13,28.85,11.27,0.32
HESTERBIO,46.57,4.56,6.65,0.33
HEXATRADEX,56.84,11.27,9.61,0.77
HEXT,15.34,24.53,29.66,4.13
HFCL,22.8,44.62,15.25,6.36
HGINFRA,62.37,10.21,5.07,7.05
HGM,11.0,4.4,4.69,3.69
HGS,49.48,14.35,2.31,7.77
HIKAL,40.84,8.87,8.66,6.18
HILINFRA,42.27,10.23,8.72,0.4
HILTON,54.31,3.33,1.93,9.19
HIMATSEIDE,43.57,14.99,6.45,6.43
HINDALCO,53.08,35.49,14.36,2.83
HINDCOMPOS,50.65,13.77,4.44,8.11
HINDCON,45.33,11.7,5.27,3.94
HINDCOPPER,61.95,21.47,10.04,7.28
HINDOILEXP,69.58,4.62,1.7,7.35
HINDPETRO,59.66,35.1,19.51,8.61
HINDUNILVR,43.72,35.88,20.62,3.7
HINDWAREAP,50.05,12.42,5.51,6.44
HINDZINC,41.39,32.05,20.93,7.16
HIRECT,59.06,12.39,2.21,6.63
HISARMETAL,43.87,5.67,4.73,7.5
HITECH,57.11,4.56,6.06,5.82
HITECHCORP,64.53,9.92,3.59,5.64
HITECHGEAR,37.35,14.83,7.22,0.13
HLEGLAS,39.99,4.33,5.75,5.21
HLVLTD,53.66,11.27,2.51,3.03
HMAAGRO,64.35,9.99,7.38,1.58
HMT,35.04,16.32,12.84,4.78
HMVL,60.33,13.7,5.72,1.44
HNDFDS,42.87,24.62,15.11,7.76
HOMEFIRST,23.58,17.26,12.65,8.79
HONASA,52.7,20.9,9.23,1.78
HONAUT,56.71,44.31,27.9,3.18
HONDAPOWER,61.51,4.84,5.2,7.96
HPAL,37.87,11.12,8.28,0.21
HPIL,49.0,4.85,1.81,0.82
HPL,50.35,12.43,6.05,2.78
HSCL,43.35,28.95,17.9,2.68
HTMEDIA,54.73,12.98,6.04,5.4
HUBTOWN,52.51,2.81,2.38,6.99
HUDCO,60.95,36.2,29.35,3.73
HUHTAMAKI,63.95,10.0,3.72,2.59
HYBRIDFIN,53.33,11.53,6.09,1.14
HYUNDAI,48.65,32.73,28.05,5.68
IBULLSLTD,38.53,2.31,5.02,6.37
ICDSLTD,35.22,11.96,8.53,5.27
ICEMAKE,47.58,4.33,2.22,5.08
ICICIAMC,40.82,34.36,11.95,4.41
ICICIBANK,21.57,26.51,21.56,5.39
ICICIGI,37.07,27.89,10.02,1.56
ICICIPRULI,61.47,23.74,14.73,5.44
ICIL,64.11,11.4,7.71,0.76
ICRA,49.14,24.65,14.94,1.78
IDBI,22.62,39.12,28.01,3.4
IDEA,61.88,30.05,28.03,4.58
IDEAFORGE,12.9,8.57,4.02,4.32
IDFCFIRSTB,28.13,24.88,21.14,1.98
IEX,39.93,17.11,12.2,6.14
IFBAGRO,52.82,3.71,1.21,9.29
IFBIND,36.86,9.92,8.0,8.28
IFCI,55.21,18.39,11.6,9.53
IFGLEXPOR,37.91,5.47,4.74,1.06
IGARASHI,40.63,12.39,1.9,2.13
IGCL,54.29,14.69,2.58,8.88
IGIL,59.52,14.22,7.14,7.9
IGL,10.66,44.86,19.89,9.01
IGPL,61.56,5.6,7.41,8.41
IIFL,49.95,10.07,17.57,5.05
IIFLCAPS,53.72,22.2,7.37,9.3
IITL,45.68,14.41,2.1,1.01
IKIO,24.52,2.54,7.69,3.93
IKS,56.79,31.12,23.56,1.25
IL&FSENGG,50.72,4.56,6.61,0.78
IL&FSTRANS,63.98,4.94,5.95,8.48
IMAGICAA,50.54,14.47,9.28,9.11
IMFA,41.94,11.36,18.0,5.64
IMPAL,55.72,8.85,9.13,6.83
IMPEXFERRO,61.81,7.43,2.36,4.8
INA,29.9,11.6,6.42,0.13
INCREDIBLE,59.29,11.29,9.31,4.63
INDBANK,64.59,4.4,9.33,7.9
INDGN,51.63,20.12,19.74,5.1
INDHOTEL,57.39,38.43,27.97,0.91
INDIACEM,59.75,11.71,12.28,4.15
INDIAGLYCO,37.26,23.96,6.17,9.48
INDIAMART,45.77,12.77,18.89,9.61
INDIANB,21.51,27.24,13.98,9.02
INDIANCARD,48.25,5.93,8.63,3.55
INDIANHUME,55.55,7.72,1.36,1.44
INDIASHLTR,26.41,12.55,7.82,3.71
INDIGO,61.89,20.03,20.07,8.43
INDIGOPNTS,55.52,13.47,4.99,8.12
INDIQUBE,46.91,9.13,2.8,7.24
INDNIPPON,45.27,13.58,8.9,9.63
INDOAMIN,45.59,11.02,2.96,4.86
INDOBORAX,45.52,5.93,2.84,2.06
INDOCO,48.39,7.36,4.85,2.29
INDOFARM,48.42,6.03,2.91,7.72
INDORAMA,57.4,9.79,9.6,4.29
INDOSTAR,53.48,12.68,6.94,8.15
INDOTECH,60.06,9.61,1.22,8.77
INDOTHAI,59.79,9.89,7.51,4.25
INDOUS,43.28,6.56,4.3,2.66
INDOWIND,19.98,14.64,3.32,8.19
INDPRUD,44.34,13.88,4.1,5.99
INDRAMEDCO,60.3,7.29,4.25,4.75
INDSWFTLAB,55.77,5.94,3.44,5.09
INDTERRAIN,52.52,14.45,9.34,0.36
INDUSINDBK,29.74,44.31,27.67,5.49
INDUSTOWER,54.66,29.99,11.32,2.17
INFOBEAN,27.51,7.77,5.36,5.12
INFOMEDIA,60.07,10.92,5.48,7.39
INFY,15.88,30.66,19.3,9.12
INGERRAND,57.76,13.65,15.74,1.18
INNOVACAP,39.48,10.1,6.29,7.47
INNOVANA,28.46,5.73,6.45,5.25
INNOVISION,47.99,7.99,4.44,9.63
INOXGREEN,26.66,21.2,19.99,8.48
INOXINDIA,36.08,16.13,15.54,4.65
INOXWIND,64.4,17.04,18.01,3.6
INSECTICID,63.43,12.58,8.74,9.34
INSPIRISYS,10.9,12.05,4.09,4.48
INTELLECT,15.25,10.12,16.81,4.96
INTENTECH,21.39,14.22,6.09,6.28
INTERARCH,53.04,7.92,7.4,4.32
INTLCONV,41.42,10.69,4.88,8.87
INVENTURE,50.96,4.57,8.59,6.81
INVPRECQ,64.99,14.9,9.41,1.69
IOB,31.78,32.86,18.01,0.31
IOC,53.26,24.73,14.37,7.05
IOLCP,48.76,7.33,9.42,9.49
IONEXCHANG,35.52,6.41,1.46,7.78
IPCALAB,63.13,41.56,16.93,7.65
IPL,59.56,6.56,2.92,1.5
IRB,47.0,23.24,28.26,1.96
IRCON,37.54,14.91,10.28,9.43
IRCTC,60.29,28.65,10.76,6.28
IREDA,53.27,20.57,29.58,2.3
IRFC,57.18,26.73,27.0,1.11
IRIS,12.23,14.58,4.43,5.79
IRISDOREME,62.32,5.87,9.64,9.94
IRMENERGY,19.98,4.57,8.53,7.49
ISFT,45.77,14.3,7.13,7.19
ISGEC,44.25,21.64,8.52,9.64
ISHANCH,38.14,4.58,7.52,3.32
ITC,41.14,38.49,11.33,2.08
ITCHOTELS,36.12,40.3,20.08,4.47
ITDC,45.65,13.27,6.04,7.55
ITI,21.54,41.46,29.12,9.49
IVALUE,29.43,10.85,7.88,4.71
IVC,42.1,6.08,3.8,9.68
IVP,54.77,11.04,5.38,0.22
IWP,50.52,5.55,7.23,8.02
IXIGO,51.12,21.59,19.47,7.65
IZMO,16.12,13.66,8.26,5.35
J&KBANK,14.82,21.89,9.26,6.65
JAGRAN,38.73,8.21,6.83,9.79
JAGSNPHARM,35.43,10.91,7.61,7.49
JAIBALAJI,61.26,17.83,16.17,9.09
JAICORPLTD,50.27,3.85,7.39,0.64
JAINREC,44.59,24.56,7.06,6.36
JAIPURKURT,55.43,2.94,7.8,9.53
JAMNAAUTO,58.2,18.99,17.58,4.98
JARO,44.57,2.75,2.1,0.6
JASH,47.43,5.8,6.75,8.81
JAYAGROGN,64.05,2.91,8.94,7.96
JAYBARMARU,47.4,10.9,5.37,6.43
JAYKAY,59.43,14.18,9.45,3.77
JAYNECOIND,57.74,24.57,8.06,3.03
JAYSREETEA,57.5,13.36,4.86,3.96
JBCHEPHARM,53.01,27.79,12.59,5.18
JBMA,48.13,18.26,10.7,3.92
JETFREIGHT,64.28,11.42,4.84,4.28
JGCHEM,50.22,14.1,8.99,1.56
JHS,42.85,6.38,7.69,5.91
JINDALPHOT,62.02,8.13,7.03,5.15
JINDALPOLY,47.77,5.94,3.62,3.67
JINDALSAW,49.26,22.87,7.75,1.4
JINDALSTEL,54.48,27.82,21.97,4.23
JINDRILL,57.71,9.1,7.11,7.08
JINDWORLD,56.27,5.63,3.56,0.37
JIOFIN,39.44,44.01,22.82,4.25
JISLDVREQS,55.1,14.03,4.88,4.12
JISLJALEQS,45.36,2.31,6.2,4.31
JITFINFRA,51.65,5.07,2.82,4.19
JKCEMENT,45.27,31.61,18.11,6.15
JKIL,59.62,6.21,2.82,5.85
JKIPL,37.67,14.12,7.64,5.62
JKLAKSHMI,51.89,16.26,15.19,4.15
JKPAPER,63.91,14.31,8.65,1.88
JKTYRE,42.36,17.15,14.25,8.91
JLHL,40.48,21.82,16.73,2.0
JMA,63.29,4.95,3.45,2.34
JMFINANCIL,38.68,21.05,15.84,0.53
JNKINDIA,35.28,8.42,1.89,4.12
JOCIL,54.28,10.63,4.94,8.66
JPOLYINVST,62.41,7.4,5.78,2.09
JPPOWER,24.6,20.81,6.29,2.4
JSFB,24.46,9.69,4.75,5.14
JSL,49.71,34.55,22.84,9.58
JSLL,60.34,19.63,5.48,8.69
JSWCEMENT,50.54,16.1,10.36,7.49
JSWDULUX,40.0,13.34,14.64,8.48
JSWENERGY,11.37,35.1,15.06,9.97
JSWHL,53.93,10.96,17.99,9.06
JSWINFRA,53.5,28.58,10.69,6.47
JSWSTEEL,59.4,36.39,12.97,9.39
JTEKTINDIA,40.36,10.6,8.63,5.44
JTLIND,55.67,10.06,1.24,6.06
JUBLCPL,35.84,10.91,9.91,1.71
JUBLFOOD,35.7,24.27,19.06,7.73
JUBLINGREA,52.26,24.16,8.82,2.33
JUBLPHARMA,63.93,17.24,6.74,4.74
JUNIPER,39.07,14.26,4.15,6.38
JUSTDIAL,49.38,3.86,4.1,7.41
JWL,36.24,22.24,6.2,1.52
JYOTHYLAB,55.59,10.22,16.61,2.69
JYOTICNC,36.58,23.43,7.75,3.05
JYOTISTRUC,64.23,5.19,9.07,3.01
KABRAEXTRU,55.11,13.52,7.7,2.85
KAJARIACER,36.78,14.93,17.11,3.1
KAKATCEM,60.27,3.37,5.28,9.58
KALAMANDIR,58.64,5.83,2.99,3.14
KALPATARU,57.46,10.5,5.3,9.71
KALYANI,41.56,12.54,5.31,8.36
KALYANIFRG,45.41,8.94,5.08,3.81
KALYANKJIL,50.11,30.22,22.91,1.57
KAMAHOLD,37.44,10.37,2.16,0.02
KAMATHOTEL,55.41,4.42,1.62,4.87
KAMDHENU,60.74,9.48,5.75,9.24
KAMOPAINTS,57.92,9.95,9.82,0.18
KANANIIND,63.67,14.74,7.57,1.96
KANCHI,60.07,11.56,5.62,7.78
KANORICHEM,57.87,8.95,1.02,8.31
KANPRPLA,39.4,3.06,6.85,0.86
KANSAINER,57.17,20.26,9.64,4.84
KAPSTON,62.15,7.74,6.49,6.87
KARMAENG,27.4,13.01,2.08,2.01
KARURVYSYA,28.94,37.66,12.95,8.46
KAUSHALYA,48.66,11.68,7.44,6.19
KAVDEFENCE,27.07,8.41,8.47,1.41
KAYA,54.85,8.39,2.13,8.54
KAYNES,32.61,30.53,15.41,3.13
KCP,45.36,14.18,1.94,4.23
KCPSUGIND,63.52,14.74,3.7,8.39
KDDL,36.09,11.98,1.82,4.65
KEC,63.03,11.81,5.25,5.23
KECL,38.23,9.87,7.44,6.39
KEEPLEARN,41.32,10.21,8.67,8.45
KEI,46.26,30.69,10.89,9.49
KELLTONTEC,25.6,5.24,2.2,3.37
KENNAMET,38.71,17.26,18.61,6.66
KERNEX,27.32,14.97,8.98,6.77
KESORAMIND,50.57,6.66,2.7,7.73
KEYFINSERV,58.45,3.4,4.24,4.98
KFINTECH,31.16,16.24,17.82,9.56
KHADIM,59.39,9.95,6.38,6.63
KHAICHEM,43.98,14.92,1.72,6.66
KHAITANLTD,41.6,6.6,8.52,4.07
KHANDSE,54.64,7.4,8.5,1.55
KICL,40.46,11.52,8.13,9.51
KILITCH,53.57,10.12,6.19,1.93
KIMS,62.62,40.9,21.25,7.31
KINGFA,40.53,13.12,6.8,7.83
KIOCL,58.73,28.46,22.76,4.34
KIRANVYPAR,37.52,12.91,3.96,2.64
KIRIINDUS,36.18,3.93,1.98,3.12
KIRLFER,42.53,23.51,6.49,1.58
KIRLOSBROS,40.37,14.93,17.31,7.57
KIRLOSENG,40.44,29.35,19.42,1.17
KIRLOSIND,40.68,11.12,8.89,8.99
KIRLPNU,58.77,12.27,11.32,4.45
KISSHT,56.09,8.82,9.2,3.62
KITEX,52.76,10.62,2.13,3.68
KKCL,38.24,11.91,5.93,6.58
KLBRENG-B,60.33,9.07,2.78,7.46
KMEW,46.21,24.37,7.7,8.28
KMSUGAR,50.81,3.68,9.8,9.76
KNAGRI,54.73,9.71,6.74,2.01
KNRCON,39.36,3.57,1.51,7.44
KOHINOOR,59.96,5.93,6.94,9.17
KOKUYOCMLN,46.04,11.2,4.11,1.69
KOLTEPATIL,49.11,4.19,4.45,8.05
KOPRAN,64.11,2.76,1.36,9.11
KOTAKBANK,32.65,22.91,29.86,8.15
KOTARISUG,39.51,7.13,4.03,0.23
KOTHARIPET,64.34,14.84,4.41,1.69
KOTHARIPRO,48.56,10.19,8.83,1.12
KOTIC,62.84,3.89,9.89,1.41
KOTYARK,62.35,5.5,4.62,5.76
KOVAI,39.78,16.65,6.06,3.09
KPEL,48.41,3.04,8.05,8.9
KPIGREEN,10.23,18.32,6.51,5.46
KPIL,40.51,27.47,19.87,1.5
KPITTECH,28.35,18.3,6.69,9.01
KPL,62.18,9.11,3.0,2.86
KPRMILL,55.02,41.6,25.18,7.25
KRBL,48.13,23.66,7.63,8.62
KREBSBIO,46.2,6.99,2.43,2.35
KRIDHANINF,50.79,7.35,4.06,5.75
KRISHANA,44.45,6.4,8.82,7.99
KRISHIVAL,50.01,2.76,4.51,8.83
KRISHNADEF,41.56,10.51,8.06,6.18
KRITI,35.31,3.56,4.44,3.8
KRITIKA,48.06,5.56,2.5,5.68
KRITINUT,37.68,9.09,7.53,5.28
KRN,11.37,13.72,17.35,7.69
KRONOX,53.64,11.33,6.79,0.79
KROSS,49.91,4.69,5.17,4.93
KRSNAA,49.56,13.13,5.51,8.91
KRYSTAL,43.82,10.65,7.43,6.86
KSB,61.64,12.39,15.87,9.55
KSCL,47.85,21.0,12.35,7.12
KSHINTL,55.3,14.18,5.08,9.15
KSHITIJPOL,40.85,2.44,2.79,5.79
KSL,45.96,2.92,4.09,0.16
KSOLVES,24.65,6.7,4.37,0.35
KSR,47.51,4.4,2.44,0.51
KTKBANK,23.35,16.62,15.9,3.31
